study	qtlgroup	study_qtlgroup_sample_count	eGenes	eExons	eTranscripts	eTxRevise
Alasoo_2018	macrophage_IFNg	84	1629	1237	1141	1571
Alasoo_2018	macrophage_IFNg+Salmonella	84	1089	783	713	944
Alasoo_2018	macrophage_naive	84	1619	1194	1234	1697
Alasoo_2018	macrophage_Salmonella	84	1149	942	893	1204
BLUEPRINT	monocyte	191	6570	4614	2510	3929
BLUEPRINT	neutrophil	196	5174	3730	1813	2846
BLUEPRINT	T-cell	167	5656	4362	2777	3932
BrainSeq	brain	479	4504	5658	3722	4861
GENCORD	fibroblast	186	2060	1407	901	1246
GENCORD	LCL	190	2547	1994	1340	1938
GENCORD	T-cell	184	2542	1848	1188	1668
GEUVADIS	LCL	445	5242	5133	3957	5631
HipSci	iPSC	322	4137	5218	4368	5979
Lepik_2017	blood	471	7686	5975	3549	4918
Nedelec_2016	macrophage_Listeria	163	2135	1576	981	1338
Nedelec_2016	macrophage_naive	163	2264	1462	1097	1474
Nedelec_2016	macrophage_Salmonella	167	2163	1507	809	1221
Quach_2016	monocyte_IAV	198	4289	2801	1238	1856
Quach_2016	monocyte_LPS	184	4551	3120	1622	2405
Quach_2016	monocyte_naive	200	5098	3490	1995	2912
Quach_2016	monocyte_Pam3CSK4	196	4856	3465	1826	2656
Quach_2016	monocyte_R848	191	4399	2793	1556	2209
ROSMAP	brain_naive	576	7227	7697	5081	6458
Schmiedel_2018	B-cell_naive	91	2326	406	360	505
Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	89	2073	315	340	458
Schmiedel_2018	CD4_T-cell_naive	88	2628	509	529	681
Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	88	2016	349	372	482
Schmiedel_2018	CD8_T-cell_naive	89	2750	652	579	769
Schmiedel_2018	monocyte_CD16_naive	90	2380	384	365	520
Schmiedel_2018	monocyte_naive	91	2502	408	461	620
Schmiedel_2018	NK-cell_naive	90	1886	349	344	422
Schmiedel_2018	Tfh_memory	89	2468	495	450	658
Schmiedel_2018	Th1_memory	82	2190	417	389	537
Schmiedel_2018	Th1-17_memory	88	2645	552	499	683
Schmiedel_2018	Th17_memory	89	2879	566	600	746
Schmiedel_2018	Th2_memory	89	2552	442	469	668
Schmiedel_2018	Treg_memory	89	2324	514	448	622
Schmiedel_2018	Treg_naive	89	2432	478	477	617
Schwartzentruber_2018	sensory_neuron	98	497	921	1112	1471
TwinsUK	blood	195	3515	2318	1020	1461
TwinsUK	fat	381	6733	6110	2817	3931
TwinsUK	LCL	418	7043	5456	3263	4586
TwinsUK	skin	370	5758	5404	2550	3367
van_de_Bunt_2015	pancreatic_islet	117	495	710	636	916
